technique,angle,reference_key,status,source_url,segment_start_s,segment_end_s,quality,notes
fighting_stance,front,fighting_stance__front,ready,https://www.youtube.com/watch?v=SjLXzCpRS8U,,,,auto: boxing fighting stance tutorial front view | Boxing Stance | Beginner Step-By-Step Tutorial
fighting_stance,left45,fighting_stance__left45,ready,https://www.youtube.com/watch?v=e2S6-gwR0es,,,,auto: boxing fighting stance tutorial left 45 degree view | Your Boxing Stance is Wrong
fighting_stance,right45,fighting_stance__right45,ready,https://www.youtube.com/watch?v=pFlW2MtfIVs,,,,auto: boxing fighting stance tutorial right 45 degree view | 45-Degree Angles in Boxing
fighting_stance,side,fighting_stance__side,ready,https://www.youtube.com/watch?v=75KjoTO1dJs,,,,auto: boxing fighting stance tutorial side view | Southpaw Stance for Right Handed Boxers
jab,front,jab__front,ready,https://www.youtube.com/watch?v=71nmi6nGcrY,,,,auto: boxing jab tutorial front view | How to Throw the Perfect Jab in Boxing
jab,left45,jab__left45,ready,https://www.youtube.com/watch?v=hNclexRmDsY,,,,auto: boxing jab tutorial left 45 degree view | How to Pivot in Boxing
jab,right45,jab__right45,ready,https://www.youtube.com/watch?v=h4vQrtKr5F0,,,,auto: boxing jab tutorial right 45 degree view | THE 45 DEGREE JAB
jab,side,jab__side,ready,https://www.youtube.com/watch?v=n-PBmzmeXSI,,,,auto: boxing jab tutorial side view | The Basic Boxing Punches Explained | How & Why
cross,front,cross__front,ready,https://www.youtube.com/watch?v=sK-6Ujp3KYY,,,,auto: boxing cross punch tutorial front view | How to Throw the Perfect Cross (Right Hand / 2) in Boxing
cross,left45,cross__left45,ready,https://www.youtube.com/watch?v=ce-lVnoUYTs,,,,auto: boxing cross punch tutorial left 45 degree view | 45 degree Angles after the Left Hook
cross,right45,cross__right45,ready,https://www.youtube.com/watch?v=wxZjcfMDZvw,,,,auto: boxing cross punch tutorial right 45 degree view | 45 Degree punch
cross,side,cross__side,ready,https://www.youtube.com/watch?v=JhkqSCahsNY,,,,auto: boxing cross punch tutorial side view | Boxing Punches 1-6 Explained: Perfect Techniques
hook,front,hook__front,ready,https://www.youtube.com/watch?v=MJmHnyBjC6s,,,,auto: boxing hook punch tutorial front view | How to throw the right hook in Boxing | Subscribe for more like this
hook,left45,hook__left45,ready,https://www.youtube.com/watch?v=hAOIr4G_QQk,,,,auto: boxing hook punch tutorial left 45 degree view | Vertical Hook vs Horizontal Hook
hook,right45,hook__right45,ready,https://www.youtube.com/watch?v=ce-lVnoUYTs,,,,auto: boxing hook punch tutorial right 45 degree view | 45 degree Angles after the Left Hook
hook,side,hook__side,ready,https://www.youtube.com/watch?v=0gtMKaCJ5I8,,,,auto: boxing hook punch tutorial side view | The Correct Way To Throw HOOKS in BOXING | Thumb Up or Thumb In
uppercut,front,uppercut__front,ready,https://www.youtube.com/watch?v=eBxn21FtqPg,,,,auto: boxing uppercut tutorial front view | The Correct Way to Throw Uppercut
uppercut,left45,uppercut__left45,ready,https://www.youtube.com/watch?v=GxMOV3ibhWg,,,,auto: boxing uppercut tutorial left 45 degree view | The 45 degree uppercut
uppercut,right45,uppercut__right45,ready,https://www.youtube.com/watch?v=GxMOV3ibhWg,,,,auto: boxing uppercut tutorial right 45 degree view | The 45 degree uppercut
uppercut,side,uppercut__side,ready,https://www.youtube.com/watch?v=meUNR0SgSXw,,,,auto: boxing uppercut tutorial side view | Boxing - More Power from your Punches
front_kick,front,front_kick__front,ready,https://www.youtube.com/watch?v=eg7LpOr5yzY,,,,auto: martial arts front kick tutorial front view | Front Snap Kick Training Tips for Beginners
front_kick,left45,front_kick__left45,ready,https://www.youtube.com/watch?v=me9y-Uz6otg,,,,auto: martial arts front kick tutorial left 45 degree view | MUAY THAI: Angle off kick to Left Cross - Left Knee - Left Kick
front_kick,right45,front_kick__right45,ready,https://www.youtube.com/watch?v=CO4S2daMICk,,,,auto: martial arts front kick tutorial right 45 degree view | Understanding the 45 Degree Step
front_kick,side,front_kick__side,ready,https://www.youtube.com/watch?v=aWjz5NgzhTw,,,,auto: martial arts front kick tutorial side view | How to Do a Front Kick | Karate Lessons
roundhouse_kick,front,roundhouse_kick__front,ready,https://www.youtube.com/watch?v=BEYGp-npoHc,,,,auto: martial arts roundhouse kick tutorial front view | Scott Adkins Lead Round Kick Tutorial
roundhouse_kick,left45,roundhouse_kick__left45,ready,https://www.youtube.com/watch?v=Bp_QVO7kYtg,,,,auto: martial arts roundhouse kick tutorial left 45 degree view | 5 Common Muay Thai Roundhouse Mistakes: Perfect Your Kick
roundhouse_kick,right45,roundhouse_kick__right45,ready,https://www.youtube.com/watch?v=eQFo1L9g4Sc,,,,auto: martial arts roundhouse kick tutorial right 45 degree view | Martial Arts 45 Roundhouse Kick Tutorial How To Do a Martial Arts Roundhouse at 45 degree
roundhouse_kick,side,roundhouse_kick__side,ready,https://www.youtube.com/watch?v=KrR-58vvMnY,,,,auto: martial arts roundhouse kick tutorial side view | HOW TO DO A KARATE ROUNDHOUSE KICK | Tutorial
side_kick,front,side_kick__front,ready,https://www.youtube.com/watch?v=8ZzAEfRlB_s,,,,auto: martial arts side kick tutorial front view | Amazing SIDE KICK Exercise (Yoko Geri) by Jesse Enkamp
side_kick,left45,side_kick__left45,ready,https://www.youtube.com/watch?v=gih8JPD-9KU,,,,auto: martial arts side kick tutorial left 45 degree view | RETURN DEMO  45 DEGREES KICK WITH TARGET
side_kick,right45,side_kick__right45,ready,https://www.youtube.com/watch?v=f-0cCiOIJn4,,,,auto: martial arts side kick tutorial right 45 degree view | HOW TO DO A PROPER 45 KICK | TheLizardoSquad
side_kick,side,side_kick__side,ready,https://www.youtube.com/watch?v=2H0qIAH-T6M,,,,auto: martial arts side kick tutorial side view | Side Kick Tutorial Video - Martial Arts Training
back_kick,front,back_kick__front,ready,https://www.youtube.com/watch?v=5pSKO3LiItU,,,,auto: martial arts back kick tutorial front view | Back kick tutorial full motion Taekwondo / Martial arts / 태권도 / kick / 킥
back_kick,left45,back_kick__left45,ready,https://www.youtube.com/watch?v=aV0QCW4vf1g,,,,auto: martial arts back kick tutorial left 45 degree view | 1st perfect 45 turning long kick
back_kick,right45,back_kick__right45,ready,https://www.youtube.com/watch?v=LqHUf0H6bb4,,,,auto: martial arts back kick tutorial right 45 degree view | Striking Fundamentals: 45 Degree Kick
back_kick,side,back_kick__side,ready,https://www.youtube.com/watch?v=a7LsNhMOlMc,,,,auto: martial arts back kick tutorial side view | Spinning Back Kick Break (6 Boards)
spinning_back_kick,front,spinning_back_kick__front,ready,https://www.youtube.com/watch?v=81PkDXrPqFI,,,,auto: martial arts spinning back kick tutorial front view | How to Land a Spinning Back Kick
spinning_back_kick,left45,spinning_back_kick__left45,ready,https://www.youtube.com/watch?v=BDORUMu__is,,,,auto: martial arts spinning back kick tutorial left 45 degree view | TORNADO KICK - 3 EASY STEPS | TKD
spinning_back_kick,right45,spinning_back_kick__right45,ready,https://www.youtube.com/watch?v=IuQeTww3c3o,,,,auto: martial arts spinning back kick tutorial right 45 degree view | Easy and Effective Tornado Kick Tutorial!! Spinning Kick 101
spinning_back_kick,side,spinning_back_kick__side,ready,https://www.youtube.com/watch?v=uTuugDIWjNQ,,,,auto: martial arts spinning back kick tutorial side view | How to Fix Your Spinning Back Kick / Turning Side Kick
knee_strike,front,knee_strike__front,ready,https://www.youtube.com/watch?v=XzXUM6i9Qdw,,,,auto: muay thai knee strike tutorial front view | Muay Thai Basics: Knees - AKA Techniques
knee_strike,left45,knee_strike__left45,ready,https://www.youtube.com/watch?v=pPmnlFqhRfw,,,,auto: muay thai knee strike tutorial left 45 degree view | Basic technique for knees and blocks #knees #blocks #muaythai #kickboxing
knee_strike,right45,knee_strike__right45,ready,https://www.youtube.com/watch?v=0ZlSlVtm-7Y,,,,auto: muay thai knee strike tutorial right 45 degree view | Top 3 Ways To Land A Clean Body Kick | EXCLUSIVE CONTENT FROM LIAMHARRISONTRAINING.COM
knee_strike,side,knee_strike__side,ready,https://www.youtube.com/watch?v=SD2PvP-jVds,,,,auto: muay thai knee strike tutorial side view | Dominate the Muay Thai Clinch with Petchboonchu
elbow_strike,front,elbow_strike__front,ready,https://www.youtube.com/watch?v=fVeGKwcp700,,,,auto: muay thai elbow strike tutorial front view | Do you REALLY know how to elbow ?
elbow_strike,left45,elbow_strike__left45,ready,https://www.youtube.com/watch?v=mp771sLeuQs,,,,auto: muay thai elbow strike tutorial left 45 degree view | Muay Thai Basics: 5 Beginner Elbow Strikes
elbow_strike,right45,elbow_strike__right45,ready,https://www.youtube.com/watch?v=Q0vhmmAhWfA,,,,"auto: muay thai elbow strike tutorial right 45 degree view | The magic of 45 Degree Angle in MMA Hook , Uppercut and Elbow Strikes"
elbow_strike,side,elbow_strike__side,ready,https://www.youtube.com/watch?v=b2EaxgTDWZc,,,,auto: muay thai elbow strike tutorial side view | 5 Common Elbow Strike Mistakes: How to Cut Your Opponent
axe_kick,front,axe_kick__front,ready,https://www.youtube.com/watch?v=4IvPiUtUsSE,,,,auto: taekwondo axe kick tutorial front view | How to Do an Axe Kick | Taekwondo Training
axe_kick,left45,axe_kick__left45,ready,https://www.youtube.com/watch?v=jmZgJXwHNQY,,,,auto: taekwondo axe kick tutorial left 45 degree view | Taekwondo Basic Kicks
axe_kick,right45,axe_kick__right45,ready,https://www.youtube.com/watch?v=Vnmv0OtqnGI,,,,auto: taekwondo axe kick tutorial right 45 degree view | Axe Kick in 3 Easy Steps | TKD
axe_kick,side,axe_kick__side,ready,https://www.youtube.com/watch?v=1OoNhh-Cr-I,,,,auto: taekwondo axe kick tutorial side view | How To Do The Powerful Axe Kick | Taekwondo Training
